ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,Season,City,Sport,Event,Medal
28820,Diamond Brittany Dixon,F,20,168,51,United States,USA,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
29317,Claire Christine Donahue,F,23,170,63,United States,USA,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
29434,Ulyana Vyacheslavovna Donskova,F,19,176,57,Russia,RUS,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
29618,Sara Dosho,F,21,159,69,Japan,JPN,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Gold
29663,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
29663,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
29686,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16,157,50,United States,USA,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,Gold
29686,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16,157,50,United States,USA,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
29686,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20,157,50,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
30178,Du Jing,F,24,170,70,China-1,CHN,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,Gold
30180,Du Li,F,22,170,55,China,CHN,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
30394,Kseniya Pavlovna Dudkina,F,17,173,49,Russia,RUS,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
30576,Alina Alexandra Dumitru (-Croitoru),F,25,158,48,Romania,ROU,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,Gold
32382,Taylor Ellis-Watson,F,23,183,65,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
32860,Alexandra Georgiana Maria Eremia,F,17,149,38,Romania,ROU,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,Gold
33057,Arianna Errigo,F,24,180,68,Italy,ITA,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",Gold
33238,Mara del Rosario Espinoza Espinoza,F,20,173,70,Mexico,MEX,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,Gold
33241,Chloe Esposito,F,24,168,55,Australia,AUS,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
34233,Rachel Fattal,F,22,173,65,United States,USA,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
34410,Aleksandra Andreyevna Fedoriva,F,19,176,60,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
34551,Allyson Michelle Felix,F,22,168,56,United States,USA,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
35507,Fanny Fischer,F,21,175,63,Germany,GER,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
36870,Shelly-Ann Fraser-Pryce,F,21,160,57,Jamaica,JAM,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,Gold
36870,Shelly-Ann Fraser-Pryce,F,25,160,57,Jamaica,JAM,2012,Summer,London,Athletics,Athletics Women's 100 metres,Gold
36969,Amanda Louise Freed,F,24,172,62,United States,USA,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
38195,Felicity Madeline Galvez,F,23,167,58,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
38195,Felicity Madeline Galvez,F,23,167,58,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
38414,Gao Ling,F,25,169,61,China-2,CHN,2004,Summer,Athina,Badminton,Badminton Mixed Doubles,Gold
38761,English Gardner,F,24,168,55,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
39155,Anna Vitalyevna Gavrilenko,F,18,174,55,Russia,RUS,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
39396,Erba Tiki Gelana,F,24,165,48,Ethiopia,ETH,2012,Summer,London,Athletics,Athletics Women's Marathon,Gold
40719,Olga Vyacheslavovna Glatskikh,F,15,170,50,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
40954,Maartje Goderie,F,24,158,50,Netherlands,NED,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
41776,Tatyana Igorevna Gorbunova,F,18,176,63,Russia,RUS,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
42228,Martine Soffiatti Grael,F,25,168,62,Brazil,BRA,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
43102,Mariya Igorevna Gromova,F,20,172,61,Russia,RUS,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
43102,Mariya Igorevna Gromova,F,24,172,61,Russia,RUS,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
43676,Rianne Dorian Guichelaar,F,24,174,63,Netherlands,NED,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
43965,Guo Jingjing,F,22,163,49,China,CHN,2004,Summer,Athina,Diving,Diving Women's Springboard,Gold
43965,Guo Jingjing,F,22,163,49,China,CHN,2004,Summer,Athina,Diving,Diving Women's Synchronized Springboard,Gold
43981,Guo Wenjun,F,24,168,60,China,CHN,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold
43986,Guo Yue,F,20,165,54,China,CHN,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Team,Gold
43986,Guo Yue,F,24,165,54,China,CHN,2012,Summer,London,Table Tennis,Table Tennis Women's Team,Gold
44061,Yuliya Aleksandrovna Gushchina,F,25,174,61,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
44487,Mandy Haase,F,22,164,58,Germany,GER,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
44896,Biurakn Hakhverdian,F,22,172,65,Netherlands,NED,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
46015,Jessica Adele Hardy (-Meichtry),F,25,180,70,United States,USA,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
46113,"Dawn Harper (-Everhart, -Nelson)",F,24,168,61,United States,USA,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,Gold
46542,Natasha Monique Hastings,F,22,173,68,United States,USA,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
46931,He Kexin,F,16,142,33,China,CHN,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold
46931,He Kexin,F,16,142,33,China,CHN,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,Gold
46936,He Wenna,F,19,160,50,China,CHN,2008,Summer,Beijing,Trampolining,Trampolining Women's Individual,Gold
46948,He Zi,F,21,159,51,China,CHN,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Gold
46999,Tobin Powell Heath,F,20,168,59,United States,USA,2008,Summer,Beijing,Football,Football Women's Football,Gold
46999,Tobin Powell Heath,F,24,168,59,United States,USA,2012,Summer,London,Football,Football Women's Football,Gold
47117,"Frederike Johanna Maria ""Femke"" Heemskerk",F,20,180,68,Netherlands,NED,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
47187,Britta Heidemann,F,25,180,70,Germany,GER,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",Gold
47582,Monique Marie Henderson,F,21,170,54,United States,USA,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
47582,Monique Marie Henderson,F,25,170,54,United States,USA,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
47622,Justine Henin-Hardenne,F,22,167,60,Belgium,BEL,2004,Summer,Athina,Tennis,Tennis Women's Singles,Gold
47749,Jodie Clare Henry,F,20,176,63,Australia,AUS,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,Gold
47749,Jodie Clare Henry,F,20,176,63,Australia,AUS,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
47749,Jodie Clare Henry,F,20,176,63,Australia,AUS,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
48041,"Lauren Zoe ""Laurie"" Hernandez",F,16,152,49,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
48128,Camilla Herrem,F,25,167,57,Norway,NOR,2012,Summer,London,Handball,Handball Women's Handball,Gold
49742,Hong Un-Jong,F,19,156,47,North Korea,PRK,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Horse Vault,Gold
49791,Ellen Marijn Hoog,F,22,164,54,Netherlands,NED,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
50545,Hsu Shu-Ching,F,25,160,53,Chinese Taipei,TPE,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Gold
51295,Svenja Anette Huth,F,25,163,54,Germany,GER,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
51369,Hwang Gyeong-Seon,F,22,175,67,South Korea,KOR,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Welterweight,Gold
51603,Kaori Icho,F,20,166,61,Japan,JPN,2004,Summer,Athina,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
51603,Kaori Icho,F,24,166,61,Japan,JPN,2008,Summer,Beijing,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
51816,"Larissa Dmitriyevna ""Lara"" Ilchenko",F,19,171,58,Russia,RUS,2008,Summer,Beijing,Swimming,Swimming Women's 10 kilometres Open Water,Gold
51921,Yekaterina Fyodorovna Ilyina,F,25,174,60,Russia,RUS,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
51981,Im Su-Jeong,F,21,168,57,South Korea,KOR,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Featherweight,Gold
52232,Emi Inui,F,24,170,70,Japan,JPN,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
52471,Nataliya Sergeyevna Ishchenko,F,22,177,60,Russia,RUS,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
52554,Yelena Gadzhiyevna Isinbayeva,F,22,174,64,Russia,RUS,2004,Summer,Athina,Athletics,Athletics Women's Pole Vault,Gold
52994,Sandra Raluca Izbaa,F,18,164,52,Romania,ROU,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,Gold
52994,Sandra Raluca Izbaa,F,22,164,52,Romania,ROU,2012,Summer,London,Gymnastics,Gymnastics Women's Horse Vault,Gold
53630,Jang Ji-Won,F,24,174,57,South Korea,KOR,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Gold
53926,Prapawadee Jaroenrattanatarakoon,F,24,157,54,Thailand,THA,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Featherweight,Gold
54135,Ruth Jebet,F,19,162,51,Bahrain,BRN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",Gold
54227,Pamela Jelimo (Chelimo),F,18,175,60,Kenya,KEN,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,Gold
54453,Trine Jensen (-Skovgaard Nielsen),F,23,176,70,Denmark,DEN,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
54806,Jiang Yuyuan,F,16,140,32,China,CHN,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold
54808,Jiao Liuyang,F,20,172,63,China,CHN,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,Gold
55457,Shawn Machel Johnson (-East),F,16,145,41,United States,USA,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,Gold
55676,Jade Louise Jones,F,19,156,57,Great Britain,GBR,2012,Summer,London,Taekwondo,Taekwondo Women's Featherweight,Gold
55676,Jade Louise Jones,F,23,156,57,Great Britain,GBR,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Gold
55692,Leisel Marie Jones,F,18,177,68,Australia,AUS,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
55692,Leisel Marie Jones,F,22,177,68,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,Gold
55692,Leisel Marie Jones,F,22,177,68,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
55792,Kelly Maria Jonker,F,22,159,59,Netherlands,NED,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
56296,"Lovieanne ""Lovie"" Jung",F,24,168,64,United States,USA,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
56497,Alina Maratovna Kabayeva,F,21,164,46,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
56675,"Natasha Kanani Janine ""Tasha"" Kai",F,25,170,66,United States,USA,2008,Summer,Beijing,Football,Football Women's Football,Gold
57156,Yevgeniya Olegovna Kanayeva,F,18,168,42,Russia,RUS,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
57156,Yevgeniya Olegovna Kanayeva,F,22,168,42,Russia,RUS,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
57247,Olga Nikolayevna Kaniskina,F,23,160,43,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's 20 kilometres Walk,Gold
57566,Ayumi Karino,F,23,160,57,Japan,JPN,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
58163,Risako Kawai,F,21,160,61,Japan,JPN,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
58601,Majlinda Kelmendi,F,25,162,52,Kosovo,KOS,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Gold
58623,Tabea Kemme,F,24,169,56,Germany,GER,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
59087,Fani Khalkia,F,25,174,60,Greece,GRE,2004,Summer,Athina,Athletics,Athletics Women's 400 metres Hurdles,Gold
59209,Olha Hennadivna Kharlan,F,17,172,68,Ukraine,UKR,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",Gold
59225,Elvira Ramilevna Khasyanova,F,23,163,57,Russia,RUS,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
59367,Olena Mykolavna Khomrova,F,21,166,54,Ukraine,UKR,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",Gold
59520,Ki Bo-Bae,F,24,167,57,South Korea,KOR,2012,Summer,London,Archery,Archery Women's Individual,Gold
59520,Ki Bo-Bae,F,24,167,57,South Korea,KOR,2012,Summer,London,Archery,Archery Women's Team,Gold
59542,Faith Chepngetich Kibiegon,F,22,157,43,Kenya,KEN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",Gold
60022,Kim Jang-Mi,F,19,160,53,South Korea,KOR,2012,Summer,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold
60047,Kim Ji-Yeon,F,24,165,56,South Korea,KOR,2012,Summer,London,Fencing,"Fencing Women's Sabre, Individual",Gold
60247,Kim So-Hui,F,22,164,50,South Korea,KOR,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Gold
60474,"Danielle ""Dani"" King (-Rowe)",F,21,175,62,Great Britain,GBR,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Gold
60494,Lilly King,F,19,175,70,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,Gold
60494,Lilly King,F,19,175,70,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
61330,Yana Oleksandrivna Klochkova,F,22,182,70,Ukraine,UKR,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,Gold
61330,Yana Oleksandrivna Klochkova,F,22,182,70,Ukraine,UKR,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Gold
61371,Carolina Evelyn Klft,F,21,178,65,Sweden,SWE,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,Gold
61494,Bianca Knight,F,23,160,63,United States,USA,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
61812,Madison Taylor Kocian,F,19,157,46,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
62169,Svetlana Konstantinovna Kolesnichenko,F,22,171,53,Russia,RUS,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
62725,Anna Korakaki,F,20,175,65,Greece,GRE,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold
62846,Darya Sergeyevna Korobova,F,23,177,58,Russia,RUS,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
63109,Olena Dmytrivna Kostevych,F,19,160,52,Ukraine,UKR,2004,Summer,Athina,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold
63543,Danuta Kozk,F,25,168,63,Hungary,HUN,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
63543,Danuta Kozk,F,25,168,63,Hungary,HUN,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
63999,Kelly Kretschman,F,24,165,66,United States,USA,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
64697,Anke Khn (-Khne),F,23,175,70,Germany,GER,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
64780,Yolane Nicole Kukla,F,16,168,61,Australia,AUS,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
65026,Kahena Kunze,F,25,172,68,Brazil,BRA,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
65093,Tatyana Sergeyevna Kurbakova,F,18,176,52,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
65144,Kateina Krkov-Emmons,F,24,165,53,Czech Republic,CZE,2008,Summer,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
65346,Olga Petrovna Kuzhela,F,22,172,55,Russia,RUS,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
66220,Yevgeniya Alekseyevna Lamonova,F,24,174,62,Russia,RUS,2008,Summer,Beijing,Fencing,"Fencing Women's Foil, Team",Gold
66593,Lao Lishi,F,16,153,43,China,CHN,2004,Summer,Athina,Diving,Diving Women's Synchronized Platform,Gold
66954,Yelena Anatolyevna Lashmanova,F,20,170,48,Russia,RUS,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,Gold
67271,Nataliya Aleksandrovna Lavrova,F,20,175,57,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
67539,milie Le Pennec,F,16,150,37,France,FRA,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,Gold
68132,Lee Seong-Jin,F,19,164,65,South Korea,KOR,2004,Summer,Athina,Archery,Archery Women's Team,Gold
68379,Sonja Lehmann (-Dittbrenner),F,24,172,65,Germany,GER,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
68741,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,19,167,60,Australia,AUS,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
68741,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,Gold
68741,"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
68804,Carolin Leonhardt,F,19,175,64,Germany,GER,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
68921,Sydney Rae Leroux (-Dwyer),F,22,170,66,United States,USA,2012,Summer,London,Football,Football Women's Football,Gold
69088,Melanie Leupolz,F,22,173,52,Germany,GER,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
69483,Li Shanshan,F,16,145,36,China,CHN,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold
69499,Li Ting,F,17,157,44,China,CHN,2004,Summer,Athina,Diving,Diving Women's Synchronized Platform,Gold
69530,Li Xiaoxia,F,24,174,65,China,CHN,2012,Summer,London,Table Tennis,Table Tennis Women's Singles,Gold
69530,Li Xiaoxia,F,24,174,65,China,CHN,2012,Summer,London,Table Tennis,Table Tennis Women's Team,Gold
